fichier,categorie,sous_categorie,layout_type,has_arrows,regime,largeur,hauteur,nb_blocs,nb_oeuvres,nb_tiers,progression,prerequis,niveaux_de_difficulte,embranchements,recompenses,injonction,ton,point_entree,nb_ordinal_labels,justification,score_marqueurs,m_niveaux_nommes,m_hierarchie_valeur,m_point_entree,m_difficulte,m_prerequis,m_optionnel,m_recompense,m_injonction,m_progression
09_Bowden.jpeg,7_Ideologies,Ideologues,,,blocs,3672,3024,63,283,3,,,,,,,,,0,,2,0,0,1,0,0,0,0,0,1
09_Brazilian.jpeg,4_Countries.Nationalities,Original order,,,blocs,1452,2297,37,60,2,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
09_Christian Poetic Narratives.jpeg,6_Religion,General,,,blocs,1791,4145,290,458,22,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
09_Gatekeeper's Remorse.jpeg,6_Religion,Occult,,,blocs,1440,3004,78,135,8,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
09_History of Philosophy Library.jpeg,3_Philosophy,,,,blocs,4030,4030,154,258,15,,,,,,,,,0,,1,0,0,0,0,1,0,0,0,0
09_Libertarianism.jpeg,7_Ideologies,General,,,blocs,1732,3460,121,217,19,,,,,,,,,0,,21,21,0,0,0,0,0,0,0,0
09_Midwit-Core.jpeg,2_General,07_Specific,,,blocs,2027,2461,53,125,11,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
09_Programming.jpeg,9_Science,,,,blocs,900,2134,52,112,7,,,,,,,,,0,,8,4,1,1,0,2,0,0,0,0
09_Think Before Posting.jpeg,5_Speculative Fiction,1_Science Fiction,,,blocs,2397,1625,56,79,2,,,,,,,,,0,,1,0,0,0,0,1,0,0,0,0
10_.lit. canon.jpeg,2_General,04_.lit.core,sectioned_grid,False,blocs,3000,2529,44,64,2,,,,,,,,,0,,1,0,0,1,0,0,0,0,0,0
10_Black Nationalism.jpeg,7_Ideologies,Meme Ideologues,,,blocs,471,800,2,71,1,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
10_Escape the Matrix.jpeg,6_Religion,Occult,,,blocs,1440,3004,92,150,9,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
10_Intro Short Story 1.jpeg,2_General,06_Genres,,,blocs,1578,1425,47,69,5,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
10_Nietzchean.jpeg,3_Philosophy,,,,blocs,1452,1348,63,88,7,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
10_Pessimist.jpeg,2_General,07_Specific,,,blocs,720,935,16,31,1,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
10_Postmodernism.jpeg,3_Philosophy,03_Guide,,,blocs,1860,1277,64,128,3,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
10_Tigers.jpeg,10_Meme Charts,,,,blocs,1500,1100,26,40,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
10_Utopia & Dystopia.jpeg,5_Speculative Fiction,1_Science Fiction,,,blocs,1575,1057,42,55,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
10_Western.jpeg,1_Beginnings,,,,blocs,945,595,25,149,6,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
11_.lit. canon 2.jpeg,2_General,04_.lit.core,,,blocs,2096,4154,72,101,3,,,,,,,,,0,,2,0,0,0,0,0,0,0,2,0
11_African Americans.jpeg,4_Countries.Nationalities,Original order,,,blocs,585,2300,51,87,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
11_Architecture.jpeg,9_Science,,,,blocs,1200,2464,32,47,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
11_Brown Pill (No Idea).jpeg,8_Pills,,,,blocs,901,2830,79,129,11,,,,,,,,,0,,2,0,0,1,0,0,0,0,0,1
11_Degenerate.jpeg,5_Speculative Fiction,2_Fantasy,,,blocs,3000,3000,24,88,4,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
11_Feminist.Queer Theory.jpeg,3_Philosophy,03_Guide,,,blocs,1860,2153,101,180,5,,,,,,,,,0,,2,0,0,0,0,0,0,0,1,1
11_Intro Short Story 2.jpeg,2_General,06_Genres,,,grille,1572,1416,1,14,1,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
11_Post-Apocalyptic.jpeg,5_Speculative Fiction,1_Science Fiction,,,blocs,2089,2464,48,58,1,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
12_Analytic 1.jpeg,3_Philosophy,,,,blocs,1195,2050,82,174,6,,,,,,,,,0,,1,0,0,0,0,1,0,0,0,0
12_Anarcho-Syndicalism (French).jpeg,7_Ideologies,Meme Ideologues,,,blocs,1783,1916,26,56,5,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
12_Christian History.jpeg,6_Religion,General,,,blocs,1904,1920,31,69,5,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
12_Darre Pill (Nazi.).jpeg,8_Pills,,,,blocs,653,1104,22,51,2,,,,,,,,,0,,2,0,0,0,0,0,0,0,2,0
12_Latin.jpeg,1_Beginnings,,,,blocs,6535,6535,69,122,9,,,,,,,,,0,,10,0,0,1,6,1,0,0,1,1
12_Living Off The Land.jpeg,2_General,07_Specific,,,blocs,2048,2048,19,34,0,,,,,,,,,0,,1,0,0,0,0,0,0,0,1,0
12_Meme-Core.jpeg,10_Meme Charts,,,,blocs,720,548,10,22,2,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
12_Pinata (Woman).jpeg,5_Speculative Fiction,1_Science Fiction,,,blocs,900,5474,48,194,9,,,,,,,,,0,,2,0,0,0,0,0,0,0,2,0
12_Uruguayan.jpeg,4_Countries.Nationalities,Original order,sectioned_grid,False,blocs,1616,2288,40,67,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
12_Western Foundations.jpeg,2_General,04_.lit.core,,,blocs,2912,5087,126,149,5,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
13_100 Works of World Literature.jpeg,2_General,04_.lit.core,,,blocs,3248,2456,103,128,1,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
13_Analytic 2.jpeg,3_Philosophy,,,,blocs,1049,1263,62,96,6,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
13_Christian Mysticism.jpeg,6_Religion,General,sectioned_grid,False,blocs,888,1224,38,44,1,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
13_Discworld.jpeg,5_Speculative Fiction,2_Fantasy,,,blocs,1655,1673,73,110,2,,,,,,,,,0,,3,0,0,1,0,0,0,0,1,1
13_Leftist Theory Starter.jpeg,10_Meme Charts,,,,blocs,769,960,10,19,1,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
13_Russian.jpeg,4_Countries.Nationalities,Original order,,,blocs,1364,3394,81,161,5,,,,,,,,,0,,2,0,0,0,0,1,0,0,1,0
13_Soft SF.jpeg,5_Speculative Fiction,1_Science Fiction,,,blocs,1600,2400,35,116,2,,,,,,,,,0,,4,0,0,0,1,0,0,0,1,2
14_Baby's First Literature.jpeg,10_Meme Charts,,,,blocs,896,2751,31,45,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
14_Chinese.jpeg,4_Countries.Nationalities,Original order,,,blocs,1600,3600,68,103,8,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
14_General.jpeg,5_Speculative Fiction,1_Science Fiction,,,blocs,1000,4000,85,128,5,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
14_Poetry Chart.jpeg,2_General,06_Genres,,,blocs,2800,2800,28,126,5,,,,,,,,,0,,4,0,0,1,0,0,0,0,2,1
14_Right-Wing LIbertarian.jpeg,7_Ideologies,General,,,blocs,3384,3992,153,266,15,,,,,,,,,0,,1,0,0,0,0,0,0,0,1,0
14_SFFG.jpeg,5_Speculative Fiction,2_Fantasy,,,blocs,900,5474,48,194,9,,,,,,,,,0,,2,0,0,0,0,0,0,0,2,0
15_.the_pol..jpeg,10_Meme Charts,,,,blocs,1000,1558,9,13,0,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
15_1900–1924.jpeg,2_General,06_Genres,,,blocs,1872,2232,146,187,17,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
15_Counter-Revolution (French).jpeg,7_Ideologies,General,,,blocs,2984,2290,52,109,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
15_Required Reading 2.jpeg,9_Science,,,,blocs,1360,3837,54,111,4,,,,,,,,,0,,2,0,0,0,1,1,0,0,0,0
15_SFFG Wall of Text.jpeg,5_Speculative Fiction,2_Fantasy,,,blocs,2500,3552,56,95,6,,,,,,,,,0,,1,0,0,0,1,0,0,0,0,0
15_Warhammer 40k 1.jpeg,5_Speculative Fiction,1_Science Fiction,tier_list,False,blocs,4500,4024,112,116,1,,,,,,,,,0,,6,6,0,0,0,0,0,0,0,0
16_1925–1949.jpeg,2_General,06_Genres,,,blocs,1760,2368,197,287,18,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
16_Analytic Metaphysics.jpeg,3_Philosophy,,sectioned_grid,True,blocs,4000,2000,48,172,5,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
16_Anarcho-Primitivism.jpeg,7_Ideologies,Meme Ideologues,,,blocs,1088,735,34,47,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
16_SFFG Amazon.jpeg,5_Speculative Fiction,2_Fantasy,,,blocs,2000,3000,29,41,5,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
16_TP Economics.jpeg,7_Ideologies,General,,,blocs,4112,2064,52,108,5,,,,,,,,,0,,1,0,0,0,0,0,0,0,1,0
16_Warhammer 40k 2.jpeg,5_Speculative Fiction,1_Science Fiction,,,blocs,1260,1712,37,80,6,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
17_1950–1974.jpeg,2_General,06_Genres,,,blocs,1890,2203,192,291,18,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
17_Anarcho-Capitalism.jpeg,7_Ideologies,Meme Ideologues,sectioned_grid,True,blocs,2426,2676,116,155,14,,,,,,,,,0,,2,0,0,1,1,0,0,0,0,0
17_Baseball.jpeg,2_General,07_Specific,,,blocs,1728,2304,28,72,5,,,,,,,,,0,,1,0,0,0,0,0,1,0,0,0
17_Christian by Denomination.jpeg,6_Religion,General,,,blocs,3000,2900,89,136,6,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
17_Lain Pill (Cyberpunk).jpeg,8_Pills,,sectioned_grid,False,blocs,1520,4648,51,94,5,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
17_Meme Poetry.jpeg,10_Meme Charts,,,,blocs,905,613,5,18,1,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
17_Monarchism.jpeg,7_Ideologies,General,,,blocs,1987,1345,174,218,5,,,,,,,,,0,,1,0,0,0,0,0,0,1,0,0
17_Utopianism.jpeg,3_Philosophy,,,,blocs,1500,1500,33,57,4,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
17_Web NOvels.jpeg,5_Speculative Fiction,2_Fantasy,,,blocs,1600,1344,18,39,1,,,,,,,,,0,,3,2,0,0,0,0,0,0,1,0
18_1975–1999.jpeg,2_General,06_Genres,,,blocs,1908,2180,127,220,10,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
18_Distributism.jpeg,7_Ideologies,General,,,blocs,1080,1525,33,66,9,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
18_Economics.jpeg,9_Science,,,,blocs,1234,1426,18,57,5,,,,,,,,,0,,2,0,0,0,0,1,0,0,1,0
18_Orange Pill (Crypto).jpeg,8_Pills,,,,blocs,1250,950,32,110,1,,,,,,,,,0,,3,0,0,2,0,0,0,0,1,0
18_Self-Published 1.jpeg,5_Speculative Fiction,2_Fantasy,,,blocs,3500,3500,53,65,4,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
18_Slavelord.jpeg,2_General,07_Specific,,,blocs,1590,4400,37,69,5,,,,,,,,,0,,1,0,0,0,0,1,0,0,0,0
19_21st Century Literature.jpeg,2_General,07_Specific,,,blocs,1044,1862,40,74,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
19_China Mieville.jpeg,5_Speculative Fiction,1_Science Fiction,,,blocs,1200,1140,42,69,0,,,,,,,,,0,,7,0,0,2,0,0,1,0,4,0
19_First Seven Ecumenical Councils.jpeg,6_Religion,General,,,blocs,1597,1173,45,70,4,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
19_Modern Unique Fantasy.jpeg,10_Meme Charts,,,,blocs,4921,5813,14,31,2,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
19_New Thought.jpeg,7_Ideologies,General,sectioned_grid,False,blocs,2896,2896,12,24,1,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
20_21st Century Literature 2.jpeg,2_General,07_Specific,sectioned_grid,False,blocs,1280,720,41,65,2,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
20_Analysis (Mathematics).jpeg,9_Science,,sectioned_grid,True,blocs,5595,6349,54,96,4,,,,,,,,,0,,6,0,0,0,6,0,0,0,0,0
20_Christianity.jpeg,6_Religion,General,,,blocs,1800,2300,137,290,11,,,,,,,,,0,,4,1,0,0,1,0,2,0,0,0
20_Conan The Barbarian.jpeg,5_Speculative Fiction,2_Fantasy,,,blocs,936,1230,6,64,0,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
20_Nazbol.jpeg,7_Ideologies,Meme Ideologues,,,blocs,1024,800,35,56,2,,,,,,,,,0,,1,0,0,0,0,1,0,0,0,0
21_British Conservatism.jpeg,7_Ideologies,Meme Ideologues,,,blocs,3000,3212,59,106,4,,,,,,,,,0,,1,0,0,1,0,0,0,0,0,0
21_Mathematics Trench.jpeg,9_Science,,,,blocs,1300,3900,31,119,0,,,,,,,,,0,,1,0,0,0,1,0,0,0,0,0
22_Anti-Racist.jpeg,7_Ideologies,Meme Ideologues,,,blocs,3350,998,53,125,4,,,,,,,,,0,,2,0,0,0,1,0,0,0,0,1
22_Doomer.Bloomer.jpeg,2_General,07_Specific,,,blocs,2660,2996,40,106,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
22_Orthodox (Christian).jpeg,6_Religion,General,,,blocs,2048,2000,43,60,3,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
22_Stoicism.jpeg,3_Philosophy,,,,blocs,6200,3413,123,176,9,,,,,,,,,0,,1,0,0,0,1,0,0,0,0,0
23_Christian Doctrine.jpeg,6_Religion,General,,,blocs,2000,7655,294,481,15,,,,,,,,,0,,2,0,0,0,0,0,0,0,1,1
23_Computers.jpeg,9_Science,,,,blocs,1134,2268,67,125,5,,,,,,,,,0,,4,0,0,1,0,2,0,0,0,1
