fichier,categorie,sous_categorie,layout_type,has_arrows,regime,largeur,hauteur,nb_blocs,nb_oeuvres,nb_tiers,progression,prerequis,niveaux_de_difficulte,embranchements,recompenses,injonction,ton,point_entree,nb_ordinal_labels,justification,score_marqueurs,m_niveaux_nommes,m_hierarchie_valeur,m_point_entree,m_difficulte,m_prerequis,m_optionnel,m_recompense,m_injonction,m_progression
49_Meme Analysis.jpeg,10_Meme Charts,,,,blocs,750,461,39,65,0,,,,,,,,,0,,1,0,0,0,1,0,0,0,0,0
50_Bioshock Infinite.jpeg,10_Meme Charts,,,,blocs,2976,3576,24,75,2,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
51_K-On.jpeg,10_Meme Charts,,,,blocs,720,556,23,26,2,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
51_Poems on Massacres and Hell.jpeg,2_General,07_Specific,,,blocs,2976,3576,24,51,2,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
"_Overcoming ADHD, Internet, Porn and SM Addiction.jpeg",11_Other Boards,,,,blocs,7615,4679,20,86,3,,,,,,,,,0,,2,0,0,0,1,0,0,0,1,0
biz_Business 1.jpeg,11_Other Boards,,,,blocs,1939,1384,27,72,4,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
biz_Business 3.jpeg,11_Other Boards,,,,blocs,1078,1660,84,267,7,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
biz_Business 4.jpeg,11_Other Boards,,,,blocs,1345,1450,61,269,8,,,,,,,,,0,,4,0,0,0,2,0,0,0,1,1
brit_Literature 1.jpeg,11_Other Boards,,,,blocs,1656,1304,40,88,4,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
fit_Fitness.jpeg,11_Other Boards,,,,blocs,989,1967,61,130,13,,,,,,,,,0,,3,0,0,0,1,0,1,0,1,0
fit_Literature.jpeg,11_Other Boards,,,,blocs,4961,3508,45,191,3,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
ic_Art 1.jpeg,11_Other Boards,,sectioned_grid,False,blocs,900,1560,37,92,1,,,,,,,,,0,,2,0,0,0,2,0,0,0,0,0
ic_Art 2.jpeg,11_Other Boards,,sectioned_grid,False,blocs,1120,1556,21,81,2,,,,,,,,,0,,5,0,0,0,1,0,1,0,2,1
ic_Art 3.jpeg,11_Other Boards,,,,blocs,1000,1200,21,47,4,,,,,,,,,0,,6,0,0,1,4,1,0,0,0,0
lit_Anime & Manga.jpeg,11_Other Boards,,,,blocs,2396,3430,171,190,3,,,,,,,,,0,,5,0,0,0,0,0,0,0,4,1
pol_Politics 1 (British).jpeg,11_Other Boards,,,,blocs,4000,3000,5,140,2,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
pol_Politics 2.jpeg,11_Other Boards,,,,blocs,2641,5802,138,238,17,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
pol_Politics 3 (British).jpeg,11_Other Boards,,,,blocs,2892,2404,70,114,4,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
r9k_Literature 1.jpeg,11_Other Boards,,,,blocs,640,1062,47,62,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
x_Paranormal 2.jpeg,11_Other Boards,,,,blocs,1000,1000,23,51,5,,,,,,,,,0,,1,0,0,0,0,0,0,0,1,0
x_Paranormal 3.jpeg,11_Other Boards,,,,blocs,3000,5455,64,150,0,,,,,,,,,0,,1,0,0,1,0,0,0,0,0,0
